Potential (V),Current (A),,
-0.498757482,-0.000164367,,
-0.494099826,-0.000157389,,
-0.48879528,-0.000152172,,
-0.484008223,-0.000147323,,
-0.479091823,-0.000142702,,
-0.474046022,-0.000138254,,
-0.468870848,-0.000134034,,
-0.464213192,-0.000129904,,
-0.459296763,-0.00012615,,
-0.453992218,-0.000122369,,
-0.449075788,-0.000118932,,
-0.444029987,-0.000115404,,
-0.439242959,-0.000112174,,
-0.434197158,-0.000108963,,
-0.429280728,-0.00010596,,
-0.423976183,-0.000102917,,
-0.419189155,-0.000100192,,
-0.414272726,-9.74E-05,,
-0.409226924,-9.49E-05,,
-0.404051751,-9.21E-05,,
-0.399005949,-8.97E-05,,
-0.39408952,-8.72E-05,,
-0.389043748,-8.49E-05,,
-0.383868545,-8.27E-05,,
-0.378822774,-8.06E-05,,
-0.373906344,-7.85E-05,,
-0.368989915,-7.67E-05,,
-0.364332259,-7.46E-05,,
-0.359157085,-7.28E-05,,
-0.353723168,-7.09E-05,,
-0.349194884,-6.92E-05,,
-0.344019711,-6.74E-05,,
-0.339232653,-6.58E-05,,
-0.33405748,-6.41E-05,,
-0.328882307,-6.26E-05,,
-0.324095279,-6.09E-05,,
-0.319049478,-5.95E-05,,
-0.31426242,-5.80E-05,,
-0.30934602,-5.66E-05,,
-0.304429591,-5.52E-05,,
-0.299383789,-5.38E-05,,
-0.294208616,-5.23E-05,,
-0.289292216,-5.12E-05,,
-0.284117013,-4.97E-05,,
-0.279329985,-4.86E-05,,
-0.274284184,-4.73E-05,,
-0.269497156,-4.62E-05,,
-0.264451355,-4.50E-05,,
-0.259276181,-4.39E-05,,
-0.25423038,-4.27E-05,,
-0.249572724,-4.16E-05,,
-0.244526923,-4.06E-05,,
-0.239610508,-3.95E-05,,
-0.234564707,-3.83E-05,,
-0.229389533,-3.74E-05,,
-0.224473119,-3.62E-05,,
-0.219427317,-3.53E-05,,
-0.214510903,-3.42E-05,,
-0.209465101,-3.33E-05,,
-0.204160541,-3.22E-05,,
-0.199244127,-3.14E-05,,
-0.194457084,-3.04E-05,,
-0.189540669,-2.94E-05,,
-0.184624255,-2.84E-05,,
-0.179449081,-2.76E-05,,
-0.174273893,-2.66E-05,,
-0.16909872,-2.58E-05,,
-0.164311677,-2.49E-05,,
-0.159136504,-2.39E-05,,
-0.154478848,-2.30E-05,,
-0.149174288,-2.22E-05,,
-0.14438726,-2.13E-05,,
-0.139470831,-2.06E-05,,
-0.134036899,-1.96E-05,,
-0.129249856,-1.89E-05,,
-0.124462821,-1.80E-05,,
-0.119675785,-1.73E-05,,
-0.114629984,-1.65E-05,,
-0.109196052,-1.56E-05,,
-0.104409017,-1.47E-05,,
-0.099492595,-1.41E-05,,
-0.094446801,-1.32E-05,,
-0.089530379,-1.24E-05,,
-0.084355205,-1.16E-05,,
-0.079180025,-1.09E-05,,
-0.074392989,-9.96E-06,,
-0.069476567,-9.30E-06,,
-0.064430773,-8.52E-06,,
-0.059384976,-7.77E-06,,
-0.054339178,-6.97E-06,,
-0.049552139,-6.25E-06,,
-0.044506341,-5.44E-06,,
-0.039848682,-4.75E-06,,
-0.034544125,-3.90E-06,,
-0.029239571,-3.17E-06,,
-0.024452532,-2.28E-06,,
-0.019277355,-1.65E-06,,
